250000	1	12849	4379	8470	0
250000	2	12849	4231	8618	0
250000	3	12849	4080	8769	0
250000	4	12849	3926	8923	0
250000	5	12849	3770	9079	0
250000	6	12849	3611	9238	0
250000	7	12849	3449	9400	0
250000	8	12849	3285	9564	0
250000	9	12849	3117	9732	0
250000	10	12849	2947	9902	0
250000	11	12849	2773	10076	0
250000	12	12849	2597	10252	0
250000	13	12849	2417	10432	0
250000	14	12849	2234	10615	0
250000	15	12849	2048	10801	0
250000	16	12849	1859	10990	0
250000	17	12849	1667	11182	0
250000	18	12849	1471	11378	0
250000	19	12849	1271	11578	0
250000	20	12849	1069	11780	0
250000	21	12849	862	11987	0
250000	22	12849	652	12197	0
250000	23	12849	439	12410	0
250000	24	12849	222	12627	0
